PLATFORM_NUMBER,time,latitude,longitude,PRES,TEMP,PSAL
,UTC,degrees_north,degrees_east,decibar,degree_Celsius,PSU
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,165.1,16.314,35.123
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,175.1,15.344,35.117
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,185.0,14.496,35.117
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,195.1,13.766,35.093
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,210.1,13.205,35.088
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,230.2,12.705,35.068
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,250.0,12.122,35.03
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,270.1,12.002,35.044
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,290.0,11.788,35.026
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,309.8,11.456,35.02
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,330.0,11.368,35.022
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,350.0,11.207,35.016
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,370.3,10.935,35.007
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,390.1,10.804,35.003
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,410.1,10.736,35.001
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,430.0,10.615,34.986
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,449.9,10.454,34.973
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,470.4,10.389,34.967
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,490.3,10.107,34.957
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,512.3,9.949,34.949
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,537.2,9.85,34.951
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,562.5,9.683,34.952
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,587.5,9.576,34.963
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,612.4,9.537,34.979
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,637.7,9.473,34.986
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,662.5,9.274,34.981
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,687.3,9.085,34.986
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,712.4,8.772,34.981
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,737.7,8.572,34.99
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,762.5,8.396,34.973
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,787.5,8.212,34.967
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,812.6,7.997,34.972
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,837.7,7.896,34.979
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,862.7,7.765,34.972
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,887.5,7.682,34.977
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,912.4,7.501,34.955
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,937.8,7.108,34.922
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,962.9,6.873,34.917
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,987.4,6.734,34.917
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1024.6,6.577,34.914
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1074.8,6.337,34.902
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1125.1,6.086,34.885
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1175.7,5.899,34.886
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1225.3,5.655,34.87
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1274.7,5.309,34.848
